idx path value
0 000,111,000 4
1 000,101,000 1
2 000,101,010 1
2_flip 010,101,000 0
3 000,001,010 1
3_flip 010,100,000 0
4 000,010,010 1
4_flip 010,010,000 0
5 000,110,010 4
5_flip 010,011,000 0
6 010,111,000 5
6_flip 000,111,010 0
7 000,011,010 5
7_flip 010,110,000 0
8 010,111,010 5
9 010,110,010 5
9_flip 010,011,010 0
10 010,010,010 3
11 010,100,010 1
11_flip 010,001,010 0
12 000,011,000 1
12_flip 000,110,000 0
13 010,101,010 1
14 010,001,000 1
14_flip 000,100,010 0
15 010,000,010 1
entrance 010,111,010 1
hidden1 010,110,000 1
hidden2 010,011,000 1
nugget 010,111,010 1


